@relation 'ASS2009-weka.filters.unsupervised.attribute.Remove-R1-2,7'

@attribute skill numeric
@attribute cluster numeric
@attribute difficulty numeric
@attribute BKT numeric
@attribute class {1,0}

@data
81,0,5,0.206703,1
81,0,5,0.319277,0
81,0,4,0.087615,1
81,0,4,0.14784,1
83,0,3,0.538929,1
82,0,3,0.753799,1
83,0,3,0.730089,1
43,0,3,0.550676,1
81,0,4,0.238167,1
38,0,2,0.713299,1
80,0,3,0.68534,1
82,0,1,0.852364,1
82,0,1,0.915163,1
80,0,3,0.831743,1
80,0,4,0.917196,1
37,0,2,0.632911,1
18,0,1,0.874477,1
82,0,2,0.952511,1
81,0,5,0.360015,1
35,0,1,0.849003,1
33,2,2,0.688103,1
82,2,2,0.973821,1
97,2,4,0.673118,0
97,2,7,0.104695,1
97,2,5,0.270987,1
97,2,2,0.483692,1
97,2,5,0.686547,1
38,2,1,0.713074,1
38,2,2,0.71285,1
81,2,5,0.502842,1
83,2,4,0.859392,1
83,2,5,0.931829,1
38,2,2,0.712626,1
38,2,1,0.712401,1
38,2,1,0.712177,1
38,2,2,0.711953,1
38,2,1,0.711728,1
33,2,4,0.807379,1
31,2,5,0.597516,1
31,2,2,0.772994,0
31,2,5,0.107093,1
31,2,1,0.274507,1
31,2,3,0.487597,1
31,2,1,0.689731,1
31,2,3,0.834521,1
31,2,4,0.918686,1
23,2,0,0.529412,1
45,2,4,0.457031,1
79,2,3,0.742647,1
39,2,2,0.577358,1
82,2,1,0.985692,1
82,2,2,0.992217,1
57,2,3,0.716484,1
48,2,6,0.235988,1
49,2,5,0.398357,0
49,2,4,0.102191,0
49,2,5,0.101205,1
49,2,4,0.265839,1
49,2,5,0.477942,1
54,2,3,0.317536,0
54,2,5,0.106262,0
54,2,5,0.030188,1
54,2,3,0.045446,1
54,2,1,0.067415,1
54,2,4,0.098483,0
54,2,1,0.027882,1
54,2,3,0.042097,1
54,2,6,0.06262,0
54,2,4,0.017612,1
80,2,4,0.961061,1
82,2,4,0.995778,1
82,2,5,0.997713,1
80,2,4,0.982097,1
42,2,4,0.416364,1
42,2,5,0.449019,1
42,2,2,0.482081,1
42,2,3,0.515267,1
43,2,1,0.704001,1
43,2,3,0.818509,1
82,2,1,0.998762,1
33,2,1,0.887164,1
33,2,1,0.936101,1
33,2,1,0.964538,1
34,2,3,0.788927,1
34,2,1,0.875363,1
34,2,2,0.929069,1
34,2,1,0.960522,1
34,2,2,0.978308,1
34,2,3,0.988166,1
35,2,0,0.848833,1
35,2,0,0.848664,1
35,2,1,0.848494,1
35,2,6,0.848324,1
35,2,1,0.848154,1
35,2,4,0.847984,0
97,2,3,0.832508,1
97,2,0,0.917607,1
98,2,3,0.546275,1
98,2,5,0.735647,1
47,2,1,0.814346,1
47,6,2,0.891571,0
47,6,3,0.119153,1
47,6,2,0.266033,1
47,6,1,0.438998,1
47,6,1,0.609255,1
47,6,1,0.749706,1
45,6,5,0.664353,1
55,6,2,0.555556,1
50,6,3,0.615551,1
50,6,5,0.785578,1
50,6,2,0.891758,1
50,6,4,0.948416,1
37,6,2,0.632615,1
51,6,6,0.55814,1
53,6,2,0.611765,1
53,6,1,0.751607,1
53,6,2,0.850905,1
53,6,3,0.914271,1
53,6,2,0.951995,1
50,6,3,0.976129,1
50,6,2,0.989108,1
50,6,4,0.995063,1
50,6,2,0.997769,1
50,6,1,0.998993,1
57,6,0,0.827138,1
50,6,6,0.999546,0
50,6,7,0.833796,1
50,6,3,0.918298,1
50,6,8,0.961601,1
2,6,3,0.503118,1
45,6,4,0.818266,0
2,6,4,0.585945,1
49,6,5,0.681827,0
49,6,2,0.104844,1
49,6,1,0.271207,1
49,6,3,0.483937,1
47,6,4,0.849637,1
40,6,1,0.736486,1
40,6,4,0.736265,1
40,6,0,0.736043,1
40,6,2,0.735822,0
40,6,2,0.738023,1
40,6,2,0.737802,1
40,6,2,0.737581,1
40,6,1,0.73736,1
40,6,1,0.737138,1
83,6,3,0.968184,1
80,6,6,0.991856,1
52,6,0,0.426966,1
52,6,7,0.426318,1
54,6,3,0.027091,1
54,6,5,0.040947,0
54,6,4,0.011681,1
54,6,5,0.018355,1
54,6,2,0.028182,1
54,6,3,0.042533,1
35,6,2,0.84942,1
35,6,4,0.84925,0
35,6,8,0.850676,0
35,6,3,0.85209,1
35,6,0,0.851922,1
35,6,0,0.851755,1
35,6,3,0.851588,1
35,6,1,0.85142,1
54,6,5,0.063246,1
38,6,5,0.711504,1
38,6,2,0.711279,1
80,6,4,0.996313,1
83,6,5,0.985424,1
83,6,2,0.993381,1
38,6,2,0.711055,1
38,6,1,0.710831,1
38,6,1,0.710606,1
38,6,3,0.710382,1
33,6,4,0.980546,1
31,6,1,0.961791,1
31,6,2,0.982439,1
31,6,3,0.992013,1
31,6,2,0.996385,1
31,6,6,0.998367,1
31,6,6,0.999263,0
31,6,7,0.758188,1
31,6,3,0.876036,1
31,6,4,0.94043,1
23,6,3,0.528887,1
45,6,6,0.109039,1
79,6,1,0.866897,1
39,6,7,0.75859,1
82,6,2,0.99933,1
82,6,2,0.999638,1
57,6,1,0.899594,1
48,6,4,0.409741,1
49,6,6,0.686747,0
49,6,5,0.104932,0
49,6,4,0.101211,0
49,6,4,0.101203,0
49,6,4,0.101203,1
49,6,4,0.265836,1
54,6,3,0.092638,1
54,6,3,0.133353,1
54,6,4,0.187917,0
54,6,5,0.056279,0
54,6,5,0.015856,1
54,6,4,0.02451,1
54,6,3,0.037186,1
54,6,4,0.055563,0
82,6,2,0.999804,1
82,6,2,0.999894,1
80,6,4,0.998335,1
42,6,4,0.548291,1
42,6,7,0.580869,1
42,6,3,0.612737,0
42,6,2,0.515902,1
42,6,4,0.54892,1
42,6,2,0.581487,1
43,6,4,0.894192,1
43,6,2,0.940256,1
33,6,3,0.989396,1
33,6,5,0.994241,1
33,6,0,0.996878,1
34,6,2,0.993569,1
34,6,1,0.996513,1
34,6,2,0.998111,1
34,6,1,0.998978,1
34,6,0,0.999447,1
35,6,0,0.851253,1
35,6,0,0.851085,1
35,6,6,0.850917,0
35,6,2,0.852329,0
35,6,3,0.85373,1
35,6,6,0.853564,1
35,6,2,0.853398,0
97,6,6,0.961262,1
97,6,7,0.982191,1
98,6,2,0.862726,1
98,6,4,0.933564,1
47,6,0,0.913496,1
47,6,3,0.951545,0
47,6,3,0.143171,0
47,6,2,0.101376,1
47,6,3,0.242961,1
47,6,2,0.413747,1
47,6,1,0.586308,1
45,6,4,0.277352,1
55,6,2,0.555383,0
55,6,4,0.558293,1
55,6,1,0.558119,0
55,6,0,0.561023,1
55,6,1,0.560847,1
50,6,4,0.98235,1
50,6,4,0.991972,1
50,6,3,0.996366,1
50,6,5,0.998359,1
37,6,3,0.632319,1
51,6,7,0.557877,0
53,6,1,0.973531,1
53,6,4,0.985532,1
53,6,3,0.99213,1
53,6,2,0.99573,1
53,6,2,0.997687,1
54,6,1,0.015659,1
54,6,1,0.02422,1
54,6,3,0.036763,1
54,6,6,0.054953,1
54,6,3,0.080941,1
35,6,5,0.85479,0
35,6,4,0.856171,1
35,6,0,0.856007,1
35,6,4,0.855842,1
35,6,6,0.855678,0
35,6,2,0.857052,1
35,6,2,0.856889,1
35,6,2,0.856725,1
35,6,3,0.856562,1
47,6,1,0.732107,1
50,6,2,0.999259,1
50,6,3,0.999666,1
50,6,2,0.999849,1
50,6,3,0.999932,1
50,6,1,0.999969,1
57,6,1,0.943434,1
50,6,4,0.999986,1
45,6,2,0.490738,1
49,6,4,0.477938,1
2,6,4,0.664135,1
47,6,1,0.837801,1
40,6,2,0.736917,0
40,6,3,0.739112,0
40,6,1,0.741295,1
40,6,1,0.741074,1
40,6,3,0.740854,1
40,6,3,0.740633,1
40,6,2,0.740413,1
83,6,3,0.997006,1
80,6,3,0.999249,1
52,6,4,0.42567,1
52,6,3,0.425024,0
52,6,5,0.426413,1
52,6,5,0.425765,1
52,6,5,0.425119,1
18,6,0,0.874359,1
18,6,1,0.87424,1
22,6,0,0.975,1
21,6,7,0.598958,0
21,6,7,0.530254,1
21,6,3,0.56807,1
21,6,5,0.605083,0
21,6,7,0.536611,0
21,6,2,0.466799,1
68,6,2,0.847826,1
21,6,5,0.505009,0
21,6,3,0.435483,1
21,6,5,0.473439,0
21,6,3,0.404747,1
21,6,7,0.442159,0
118,6,5,0.518519,1
21,6,4,0.374823,1
68,6,0,0.847692,1
21,6,1,0.411421,1
21,6,1,0.448976,1
21,6,2,0.487079,1
21,6,2,0.525294,1
21,6,3,0.563185,0
21,6,3,0.493569,1
21,6,3,0.53176,0
21,6,6,0.461956,0
21,6,4,0.393701,1
21,6,8,0.430846,1
21,6,2,0.468739,1
21,6,2,0.506955,1
21,6,1,0.545056,1
21,6,3,0.582608,1
21,6,2,0.619201,0
21,6,0,0.551349,1
21,6,3,0.588769,1
21,6,5,0.625167,1
19,6,1,0.744186,1
30,6,4,0.648536,0
30,6,4,0.554106,1
30,6,1,0.586578,1
30,6,2,0.618292,1
30,6,4,0.649013,1
30,6,5,0.678531,1
85,6,10,0.072165,0
84,6,4,0.342593,1
86,6,2,0.557377,1
84,6,6,0.342126,1
21,6,3,0.660183,1
21,6,4,0.693516,1
35,6,2,0.856398,1
1,6,2,0.623134,1
1,6,1,0.622841,1
2,6,7,0.734229,0
2,6,4,0.625343,1
2,6,5,0.699888,1
2,6,4,0.765148,1
2,6,6,0.819857,0
2,6,4,0.733265,1
2,6,3,0.793402,1
2,6,3,0.842876,1
2,6,6,0.882256,1
2,6,5,0.912784,1
14,6,6,0.571429,0
14,6,6,0.102997,1
14,6,8,0.300963,1
14,6,6,0.566244,1
14,6,3,0.788581,1
14,6,4,0.912653,1
13,6,1,0.569288,1
3,6,3,0.652439,1
3,6,3,0.652139,1
3,6,3,0.651839,1
7,6,3,0.670644,1
7,6,1,0.764797,1
12,6,0,0.684211,1
10,6,7,0.610714,1
7,6,4,0.8385,1
7,6,5,0.892351,1
7,6,1,0.929748,1
7,6,0,0.954809,1
7,6,2,0.971207,1
46,6,3,0.648649,1
46,6,3,0.807957,0
46,6,5,0.108516,1
46,6,5,0.276588,1
46,6,3,0.489896,0
46,6,4,0.102727,1
46,6,6,0.268088,1
46,6,2,0.48046,1
46,6,3,0.683898,1
46,6,1,0.830828,1
46,6,3,0.916704,1
46,6,2,0.960819,1
13,6,6,0.51331,0
13,6,4,0.559967,1
13,6,5,0.503843,1
13,6,7,0.447683,0
13,6,5,0.494494,1
13,6,5,0.438467,1
13,6,5,0.384043,1
15,6,0,0.680519,1
13,6,6,0.332466,1
15,6,2,0.828677,1
15,6,0,0.915547,1
15,6,0,0.960251,1
15,6,1,0.981717,1
7,6,2,0.981768,1
7,6,4,0.988501,1
7,6,1,0.992766,1
7,6,2,0.995456,1
5,6,1,0.744589,1
5,6,2,0.744422,1
