@relation 'ASS2009-weka.filters.unsupervised.attribute.Remove-R1-2,7'

@attribute skill numeric
@attribute cluster numeric
@attribute difficulty numeric
@attribute BKT numeric
@attribute class {1,0}

@data
81,0,5,0.103334,1
81,0,5,0.268984,0
81,0,4,0.101662,1
81,0,4,0.266516,1
83,0,3,0.551893,1
82,0,3,0.737405,1
83,0,3,0.739861,1
43,0,3,0.53322,1
81,0,4,0.4787,1
38,0,2,0.704028,1
80,0,3,0.696429,1
82,0,1,0.841384,1
82,0,1,0.908427,1
80,0,3,0.83873,1
80,0,4,0.920935,1
37,0,2,0.602339,1
18,0,1,0.869048,1
82,0,2,0.948599,1
81,0,5,0.682452,1
35,0,1,0.852368,1
33,7,2,0.697819,1
82,7,2,0.971619,1
97,7,4,0.672234,0
97,7,7,0.104068,1
97,7,5,0.302763,1
97,7,2,0.568161,1
97,7,5,0.789841,1
38,7,1,0.703803,1
38,7,2,0.703579,1
81,7,5,0.829908,1
83,7,4,0.865241,1
83,7,5,0.934868,1
38,7,2,0.703354,1
38,7,1,0.703129,1
38,7,1,0.702904,1
38,7,2,0.70268,1
38,7,1,0.702455,1
33,7,4,0.814201,1
31,7,5,0.598788,1
31,7,2,0.704453,0
31,7,5,0.490334,1
31,7,1,0.605812,1
31,7,3,0.710518,1
31,7,1,0.796719,1
31,7,3,0.862217,1
31,7,4,0.909016,1
23,7,0,0.535055,1
45,7,4,0.565483,1
79,7,3,0.757353,1
39,7,2,0.55619,1
82,7,1,0.984475,1
82,7,2,0.991551,1
57,7,3,0.72949,1
48,7,6,0.259669,1
49,7,5,0.385396,0
49,7,4,0.102128,0
49,7,5,0.101205,1
49,7,4,0.265839,1
49,7,5,0.477942,1
54,7,3,0.344828,0
54,7,5,0.118447,0
54,7,5,0.03386,1
54,7,3,0.050763,1
54,7,1,0.074995,1
54,7,4,0.10905,0
54,7,1,0.031022,1
54,7,3,0.046655,1
54,7,6,0.069142,0
54,7,4,0.019437,1
80,7,4,0.962891,1
82,7,4,0.995415,1
82,7,5,0.997516,1
80,7,4,0.982954,1
42,7,4,0.422222,1
42,7,5,0.454971,1
42,7,2,0.488077,1
42,7,3,0.521255,1
43,7,1,0.689874,1
43,7,3,0.808627,1
82,7,1,0.998655,1
33,7,1,0.891479,1
33,7,1,0.938655,1
33,7,1,0.965991,1
34,7,3,0.777049,1
34,7,1,0.867665,1
34,7,2,0.924444,1
34,7,1,0.957868,1
34,7,2,0.976825,1
34,7,3,0.987349,1
35,7,0,0.852201,1
35,7,0,0.852034,1
35,7,1,0.851867,1
35,7,6,0.851699,1
35,7,1,0.851532,1
35,7,4,0.851364,0
97,7,3,0.913248,1
97,7,0,0.96698,1
98,7,3,0.547126,1
98,7,5,0.736287,1
47,7,1,0.811765,1
47,7,2,0.889941,0
47,7,3,0.118857,1
47,7,2,0.265653,1
47,7,1,0.438588,1
47,7,1,0.608888,1
47,7,1,0.749427,1
45,7,5,0.749932,1
55,7,2,0.596639,1
50,7,3,0.650964,1
50,7,5,0.809489,1
50,7,2,0.905095,1
50,7,4,0.955087,1
37,7,2,0.602053,1
51,7,6,0.565217,1
53,7,2,0.583815,1
53,7,1,0.700244,1
53,7,2,0.792337,1
53,7,3,0.860349,1
53,7,2,0.908075,1
50,7,3,0.979287,1
