@relation 'ASS2009-weka.filters.unsupervised.attribute.Remove-R1-2,7'

@attribute skill numeric
@attribute cluster numeric
@attribute difficulty numeric
@attribute BKT numeric
@attribute class {1,0}

@data
81,0,5,0.330021,1
81,0,5,0.440518,0
81,0,4,0.241547,1
81,0,4,0.337492,1
83,0,3,0.541063,1
82,0,3,0.749627,1
83,0,3,0.731709,1
43,0,3,0.535959,1
81,0,4,0.448803,1
38,0,2,0.726334,1
80,0,3,0.694021,1
82,0,1,0.871022,1
82,0,1,0.937854,1
80,0,3,0.837221,1
80,0,4,0.92013,1
37,0,2,0.62963,1
18,0,1,0.87747,1
82,0,2,0.971086,1
81,0,5,0.565378,1
35,0,1,0.863636,1
33,2,2,0.696923,1
82,2,2,0.986773,1
97,2,4,0.696391,0
97,2,7,0.104429,1
97,2,5,0.30337,1
97,2,2,0.568805,1
97,2,5,0.790263,1
38,2,1,0.726111,1
38,2,2,0.725888,1
81,2,5,0.675081,1
83,2,4,0.860366,1
83,2,5,0.932336,1
38,2,2,0.725665,1
38,2,1,0.725442,1
38,2,1,0.725218,1
38,2,2,0.724995,1
38,2,1,0.724772,1
33,2,4,0.813574,1
31,2,5,0.590909,1
31,2,2,0.768313,0
31,2,5,0.106935,1
31,2,1,0.274275,1
31,2,3,0.487341,1
31,2,1,0.689522,1
31,2,3,0.834389,1
31,2,4,0.918615,1
23,2,0,0.522727,1
45,2,4,0.557143,1
79,2,3,0.748148,1
39,2,2,0.55514,1
82,2,1,0.993997,1
82,2,2,0.997286,1
57,2,3,0.725877,1
48,2,6,0.22905,1
49,2,5,0.374494,0
49,2,4,0.102077,0
49,2,5,0.101205,1
49,2,4,0.265839,1
49,2,5,0.477941,1
54,2,3,0.314286,0
54,2,5,0.104854,0
54,2,5,0.029768,1
54,2,3,0.044837,1
54,2,1,0.066545,1
54,2,4,0.097265,0
54,2,1,0.027523,1
54,2,3,0.041575,1
54,2,6,0.061873,0
54,2,4,0.017404,1
80,2,4,0.962497,1
82,2,4,0.998775,1
82,2,5,0.999447,1
80,2,4,0.98277,1
42,2,4,0.448148,1
42,2,5,0.481203,1
42,2,2,0.51439,1
42,2,3,0.547422,1
43,2,1,0.692107,1
43,2,3,0.810197,1
82,2,1,0.999751,1
33,2,1,0.891084,1
33,2,1,0.938422,1
33,2,1,0.965858,1
34,2,3,0.766387,1
34,2,1,0.860686,1
34,2,2,0.920226,1
34,2,1,0.955439,1
34,2,2,0.975464,1
34,2,3,0.986599,1
35,2,0,0.863478,1
35,2,0,0.86332,1
35,2,1,0.863162,1
35,2,6,0.863003,1
35,2,1,0.862845,1
35,2,4,0.862686,0
97,2,3,0.913448,1
97,2,0,0.96706,1
98,2,3,0.572082,1
98,2,5,0.75476,1
47,2,1,0.8125,1
47,7,2,0.812307,0
47,7,3,0.814013,1
47,7,2,0.81382,1
47,7,1,0.813628,1
47,7,1,0.813435,1
47,7,1,0.813242,1
45,7,5,0.743772,1
55,7,2,0.539823,1
50,7,3,0.613248,1
50,7,5,0.783986,1
50,7,2,0.890858,1
50,7,4,0.947962,1
37,7,2,0.629334,1
51,7,6,0.604651,1
53,7,2,0.60119,1
53,7,1,0.743564,1
53,7,2,0.845528,1
53,7,3,0.910977,1
53,7,2,0.950082,1
50,7,3,0.975914,1
50,7,2,0.989009,1
50,7,4,0.995017,1
50,7,2,0.997748,1
50,7,1,0.998984,1
57,7,0,0.833567,1
50,7,6,0.999541,0
50,7,7,0.832548,1
50,7,3,0.917628,1
50,7,8,0.961273,1
2,7,3,0.403509,1
45,7,4,0.867564,0
2,7,4,0.486063,1
49,7,5,0.681827,0
49,7,2,0.104844,1
49,7,1,0.271207,1
49,7,3,0.483937,1
47,7,4,0.81305,1
40,7,1,0.738562,1
40,7,4,0.738341,1
40,7,0,0.73812,1
40,7,2,0.737899,0
40,7,2,0.740088,1
40,7,2,0.739868,1
40,7,2,0.739647,1
40,7,1,0.739426,1
40,7,1,0.739205,1
83,7,3,0.968429,1
80,7,6,0.992164,1
52,7,0,0.509704,1
52,7,7,0.700057,1
54,7,3,0.026786,1
54,7,5,0.040502,0
54,7,4,0.011562,1
54,7,5,0.018179,1
54,7,2,0.027923,1
54,7,3,0.042156,1
35,7,2,0.864003,1
35,7,4,0.863845,0
35,7,8,0.865152,0
35,7,3,0.866448,1
35,7,0,0.866292,1
35,7,0,0.866136,1
35,7,3,0.86598,1
35,7,1,0.865824,1
54,7,5,0.062706,1
38,7,5,0.724549,1
38,7,2,0.724325,1
80,7,4,0.996454,1
83,7,5,0.985539,1
83,7,2,0.993433,1
38,7,2,0.724102,1
38,7,1,0.723879,1
38,7,1,0.723655,1
38,7,3,0.723432,1
33,7,4,0.98128,1
31,7,1,0.961756,1
31,7,2,0.982423,1
31,7,3,0.992005,1
31,7,2,0.996381,1
31,7,6,0.998365,1
31,7,6,0.999262,0
31,7,7,0.758022,1
31,7,3,0.87594,1
31,7,4,0.94038,1
23,7,3,0.522208,1
45,7,6,0.112649,1
79,7,1,0.87015,1
39,7,7,0.742283,1
82,7,2,0.999888,1
82,7,2,0.999949,1
57,7,1,0.903594,1
48,7,4,0.400385,1
49,7,6,0.686747,0
49,7,5,0.104932,0
49,7,4,0.101211,0
49,7,4,0.101203,0
49,7,4,0.101203,1
49,7,4,0.265836,1
54,7,3,0.091879,1
54,7,3,0.132316,1
54,7,4,0.186552,0
54,7,5,0.055812,0
54,7,5,0.015728,1
54,7,4,0.024321,1
54,7,3,0.03691,1
54,7,4,0.055166,0
82,7,2,0.999977,1
82,7,2,0.99999,1
80,7,4,0.998398,1
42,7,4,0.580015,1
42,7,7,0.611905,1
42,7,3,0.642845,0
42,7,2,0.547958,1
42,7,4,0.580542,1
42,7,2,0.612418,1
43,7,4,0.88895,1
43,7,2,0.937159,1
33,7,3,0.9898,1
33,7,5,0.994461,1
33,7,0,0.996997,1
34,7,2,0.992713,1
34,7,1,0.996048,1
34,7,2,0.997859,1
34,7,1,0.998841,1
34,7,0,0.999373,1
35,7,0,0.865668,1
35,7,0,0.865512,1
35,7,6,0.865355,0
35,7,2,0.86665,0
35,7,3,0.867933,1
35,7,6,0.867779,1
35,7,2,0.867624,0
97,7,6,0.987874,1
97,7,7,0.995592,1
98,7,2,0.874034,1
98,7,4,0.939403,1
47,7,0,0.812857,1
47,7,3,0.812664,0
47,7,3,0.814367,0
47,7,2,0.816058,1
47,7,3,0.815867,1
47,7,2,0.815676,1
47,7,1,0.815484,1
45,7,4,0.282602,1
55,7,2,0.539663,0
55,7,4,0.542604,1
55,7,1,0.542441,0
55,7,0,0.545377,1
55,7,1,0.545213,1
50,7,4,0.982196,1
50,7,4,0.991901,1
50,7,3,0.996334,1
50,7,5,0.998344,1
37,7,3,0.629039,1
51,7,7,0.566946,0
53,7,1,0.972455,1
53,7,4,0.984937,1
53,7,3,0.991804,1
53,7,2,0.995553,1
53,7,2,0.997591,1
54,7,1,0.01555,1
54,7,1,0.024059,1
54,7,3,0.036528,1
54,7,6,0.054615,1
54,7,3,0.080462,1
35,7,5,0.8689,0
35,7,4,0.870165,1
35,7,0,0.870012,1
35,7,4,0.869859,1
35,7,6,0.869706,0
35,7,2,0.870965,1
35,7,2,0.870813,1
35,7,2,0.870661,1
35,7,3,0.870509,1
47,7,1,0.815293,1
50,7,2,0.999253,1
50,7,3,0.999663,1
50,7,2,0.999848,1
50,7,3,0.999931,1
50,7,1,0.999969,1
57,7,1,0.945777,1
50,7,4,0.999986,1
45,7,2,0.496498,1
49,7,4,0.477938,1
2,7,4,0.569311,1
47,7,1,0.815101,1
40,7,2,0.738984,0
40,7,3,0.741167,0
40,7,1,0.743338,1
40,7,1,0.743118,1
40,7,3,0.742898,1
40,7,3,0.742677,1
40,7,2,0.742457,1
83,7,3,0.997029,1
80,7,3,0.999277,1
52,7,4,0.839712,1
52,7,3,0.921615,0
52,7,5,0.665044,1
52,7,5,0.816738,1
52,7,5,0.909111,1
18,7,0,0.877354,1
18,7,1,0.877238,1
22,7,0,0.975,1
21,7,7,0.588235,0
21,7,7,0.589856,1
21,7,3,0.589461,1
21,7,5,0.589065,0
21,7,7,0.590685,0
21,7,2,0.592301,1
68,7,2,0.842466,1
21,7,5,0.591904,0
21,7,3,0.593519,1
21,7,5,0.593121,0
